logtime,beam_current,beam_energy,integrated_current,integrated_colmn2.5Gev
2019-05-22 00:00:00.0,109.27,2499.845,5093.918,3376.0356
2019-05-22 00:01:00.0,109.24,2499.861,5093.92,3376.0374
2019-05-22 00:02:00.0,109.22,2499.855,5093.9214,3376.0393
2019-05-22 00:03:00.0,109.18,2499.8506,5093.9233,3376.041
2019-05-22 00:04:00.0,109.16,2499.8376,5093.9253,3376.043
2019-05-22 00:05:00.0,109.12,2499.8733,5093.9272,3376.0447
2019-05-22 00:06:00.0,109.09,2499.8398,5093.9287,3376.0466
2019-05-22 00:07:00.0,109.06,2499.8413,5093.9307,3376.0483
2019-05-22 00:08:00.0,109.03,2499.859,5093.9326,3376.05
2019-05-22 00:09:00.0,108.98,2499.874,5093.9346,3376.052
2019-05-22 00:10:00.0,108.95,2499.8633,5093.936,3376.0537
2019-05-22 00:11:00.0,108.93,2499.867,5093.938,3376.0557
2019-05-22 00:12:00.0,108.9,2499.8674,5093.94,3376.0574
2019-05-22 00:13:00.0,108.86,2499.8645,5093.9414,3376.0593
2019-05-22 00:14:00.0,108.86,2499.8633,5093.9434,3376.061
2019-05-22 00:15:00.0,108.83,2499.869,5093.9453,3376.063
2019-05-22 00:16:00.0,108.78,2499.8604,5093.9473,3376.0647
2019-05-22 00:17:00.0,108.74,2499.8748,5093.9487,3376.0664
2019-05-22 00:18:00.0,108.71,2499.866,5093.9507,3376.0684
2019-05-22 00:19:00.0,108.67,2499.8647,5093.9526,3376.07
2019-05-22 00:20:00.0,108.64,2499.8484,5093.954,3376.072
2019-05-22 00:21:00.0,108.58,2499.8682,5093.956,3376.0737
2019-05-22 00:22:00.0,108.57,2499.858,5093.958,3376.0754
2019-05-22 00:23:00.0,108.54,2499.856,5093.9595,3376.0774
2019-05-22 00:24:00.0,108.48,2499.8752,5093.9614,3376.079
2019-05-22 00:25:00.0,108.48,2499.8528,5093.9634,3376.081
2019-05-22 00:26:00.0,108.45,2499.8464,5093.9653,3376.0828
2019-05-22 00:27:00.0,108.42,2499.8677,5093.967,3376.0845
2019-05-22 00:28:00.0,108.37,2499.855,5093.9688,3376.0864
2019-05-22 00:29:00.0,108.34,2499.8604,5093.9707,3376.0881
2019-05-22 00:30:00.0,108.31,2499.8472,5093.972,3376.09
2019-05-22 00:31:00.0,108.26,2499.8726,5093.974,3376.0918
2019-05-22 00:32:00.0,108.23,2499.867,5093.976,3376.0935
2019-05-22 00:33:00.0,108.2,2499.8506,5093.9775,3376.0955
2019-05-22 00:34:00.0,108.17,2499.8618,5093.9795,3376.0972
2019-05-22 00:35:00.0,108.14,2499.8682,5093.9814,3376.099
2019-05-22 00:36:00.0,108.13,2499.8682,5093.9834,3376.1008
2019-05-22 00:37:00.0,108.09,2499.869,5093.985,3376.1025
2019-05-22 00:38:00.0,108.05,2499.848,5093.987,3376.1045
2019-05-22 00:39:00.0,108.05,2499.858,5093.989,3376.1062
2019-05-22 00:40:00.0,107.97,2499.874,5093.99,3376.108
2019-05-22 00:41:00.0,107.96,2499.8662,5093.992,3376.1099
2019-05-22 00:42:00.0,107.94,2499.8596,5093.994,3376.1116
2019-05-22 00:43:00.0,107.9,2499.8596,5093.9956,3376.1135
2019-05-22 00:44:00.0,107.9,2499.876,5093.9976,3376.1152
2019-05-22 00:45:00.0,107.84,2499.8813,5093.9995,3376.117
2019-05-22 00:46:00.0,107.8,2499.8618,5094.001,3376.119
2019-05-22 00:47:00.0,107.76,2499.8655,5094.003,3376.1206
2019-05-22 00:48:00.0,107.73,2499.8662,5094.005,3376.1223
2019-05-22 00:49:00.0,107.7,2499.8574,5094.0063,3376.1243
2019-05-22 00:50:00.0,107.67,2499.864,5094.0083,3376.126
2019-05-22 00:51:00.0,107.67,2499.8623,5094.0103,3376.1277
2019-05-22 00:52:00.0,107.59,2499.8752,5094.0117,3376.1296
2019-05-22 00:53:00.0,107.55,2499.8616,5094.0137,3376.1313
2019-05-22 00:54:00.0,107.55,2499.863,5094.0156,3376.133
2019-05-22 00:55:00.0,107.52,2499.8645,5094.017,3376.135
2019-05-22 00:56:00.0,107.47,2499.864,5094.019,3376.1367
2019-05-22 00:57:00.0,107.45,2499.855,5094.021,3376.1387
2019-05-22 00:58:00.0,107.42,2499.853,5094.0225,3376.1404
2019-05-22 00:59:00.0,107.42,2499.8633,5094.0244,3376.142
2019-05-22 01:00:00.0,107.38,2499.8638,5094.0264,3376.144
2019-05-22 01:01:00.0,107.32,2499.8567,5094.028,3376.1458
2019-05-22 01:02:00.0,107.29,2499.8733,5094.03,3376.1475
2019-05-22 01:03:00.0,107.24,2499.8586,5094.0317,3376.1492
2019-05-22 01:04:00.0,107.23,2499.8464,5094.033,3376.1511
2019-05-22 01:05:00.0,107.18,2499.863,5094.035,3376.1528
2019-05-22 01:06:00.0,107.16,2499.869,5094.037,3376.1545
2019-05-22 01:07:00.0,107.13,2499.858,5094.0386,3376.1565
2019-05-22 01:08:00.0,107.1,2499.874,5094.0405,3376.1582
2019-05-22 01:09:00.0,107.07,2499.8682,5094.0425,3376.16
2019-05-22 01:10:00.0,107.04,2499.859,5094.044,3376.1619
2019-05-22 01:11:00.0,107.01,2499.8574,5094.046,3376.1636
